2014-02-25,173.2,173.84343,101.62872,135.0,29886.7532397,3667985.39624,122.729470372
2014-02-24,314.99996,316.78999,131.72093,173.871,94594.0225893,17590531.0124,185.958166604
2014-02-23,260.70495,348.98,220.1,309.99971,38395.103758,11051773.3535,287.843299581
2014-02-22,111.0,290.52557,96.6345,255.53,71861.2880229,11632970.1851,161.88090285
2014-02-21,111.61995,160.0,91.5,111.4,82102.9295521,9798282.70207,119.341450488
2014-02-20,264.328,271.43,109.0,111.697,101724.171543,16298837.3816,160.225806064
2014-02-19,293.6,308.49,257.10001,261.37833,31104.8674722,8336909.84254,268.025891768
2014-02-18,280.0,370.0,248.14826,293.8,48454.9619648,13829969.7057,285.419060194
2014-02-17,299.72277,411.0,263.101,272.0,51184.4876074,16346874.5282,319.371655208
2014-02-16,371.0,540.0,220.29327,299.72277,86061.3453883,26181409.739,304.217992653
2014-02-15,427.52,447.87999,310.0,371.0,50382.7848275,18126549.117,359.776641547
2014-02-14,451.121,499.89,302.0,427.52,65440.5753832,24812117.2036,379.154936495
2014-02-13,540.03697,549.0,451.1,451.17,28603.7345086,14149784.3217,494.68310921
2014-02-12,578.0,585.0,511.77,531.0,20943.5721377,11359447.3963,542.383473153
2014-02-11,582.54,609.4949,550.0,578.78,16337.0510657,9326077.0068,570.854370799
2014-02-10,663.29499,700.0,500.0,582.54,39694.4757017,24006451.2888,604.780661904
2014-02-09,658.81324,693.99999,622.4189,659.49776,19589.1858635,12910231.2192,659.048891013
2014-02-08,685.22,719.24999,632.01101,648.71427,22512.9510327,15206971.6218,675.476600097
2014-02-07,827.0,833.14499,651.70976,695.61818,49457.2811294,36058821.9666,729.090260183
2014-02-06,904.70001,909.0,801.0,828.99999,18128.6800301,15330817.4106,845.666501101
2014-02-05,926.97999,939.93,890.1731,904.67,7160.25059477,6528503.20588,911.770212435
2014-02-04,933.85401,949.457,901.0321,926.97999,4188.17404075,3888307.86837,928.401692608
2014-02-03,954.0,960.0,932.05,932.05,2423.29107247,2283360.98909,942.256180046
2014-02-02,949.46534,960.0,935.0001,954.0,1458.54944284,1379138.93141,945.555146028
2014-02-01,949.98,969.3999,928.0,940.6,4055.92207631,3850636.09644,949.386113438
2014-01-31,942.10001,955.183,925.0,939.27508,3852.39141057,3633672.17252,943.225073795
2014-01-30,931.99954,953.97898,910.11,942.10001,5072.14266114,4727314.29906,932.015247773
2014-01-29,933.5,950.99999,919.3,926.13124,5339.1026289,4967492.72946,930.398434854
2014-01-28,944.0,973.0,912.02001,933.00003,10017.571209,9431740.02041,941.519638207
2014-01-27,1007.09456,1022.0,937.67,944.0,7932.19589165,7715077.06276,972.628155954
2014-01-26,963.93,1038.15894,950.73,1007.09456,12962.0087882,12955209.145,999.475417489
2014-01-25,924.97987,978.6,916.01,961.23871,7830.7821032,7495981.70284,957.245598722
2014-01-24,943.50294,950.0,903.4,917.05879,5810.18786926,5354994.03261,921.655917692
